Ветка,Номер вопроса,Выбор пользователя,Вводная,Вариант вопроса,Подтверждение выбора,Следующий вопрос,Совет,Финал,Эмодзи
1,1,1,"Добро пожаловать в мир информации! Этот опрос поможет тебе понять, какой контент тебя формирует, а что ещё может быть тебе интересно. Мы поможем тебе выйти за рамки привычного и найти то, что действительно вдохновляет.",Начать опрос,Отлично! Приступим к анализу.,1,,Нет,🧠
1,1,2,"Информация — это не просто новости, это зеркало твоего внутреннего мира. То, что ты выбираешь читать, смотреть или слушать, влияет на твоё мышление, эмоции и действия. Сейчас мы поможем тебе лучше понять себя и найти новые горизонты.",Интересные новости,"Отлично, ты хочешь находить интересные новости. Сейчас мы подберём тебе подходящие источники.",2,*Искатель новизны* Ты любишь находить что-то новое и необычное. Это отличный способ расширять кругозор и удивляться миру.,Нет,🔍
1,1,3,"Информация — это не просто новости, это зеркало твоего внутреннего мира. То, что ты выбираешь читать, смотреть или слушать, влияет на твоё мышление, эмоции и действия. Сейчас мы поможем тебе лучше понять себя и найти новые горизонты.",Понять суть вещей,"Хорошо, ты хочешь углубиться в уже известное. Сейчас мы подберём тебе стратегию.",2,"*Аналитик своего потока* Ты уже в деле и хочешь не просто потреблять, а понимать. Это зрелый подход к информации.",Нет,📊
1,1,4,"Информация — это не просто новости, это зеркало твоего внутреннего мира. То, что ты выбираешь читать, смотреть или слушать, влияет на твоё мышление, эмоции и действия. Сейчас мы поможем тебе лучше понять себя и найти новые горизонты.",Расширить кругозор,"Хорошо, ты хочешь выйти за пределы привычного. Сейчас мы поможем тебе сделать первый шаг.",2,"*Стремящийся к новому* Ты чувствуешь, что за пределами твоего экрана есть что-то важное. Это первый и самый важный шаг на пути к новому.",Нет,🌍
1,1,5,"Информация — это не просто новости, это зеркало твоего внутреннего мира. То, что ты выбираешь читать, смотреть или слушать, влияет на твоё мышление, эмоции и действия. Сейчас мы поможем тебе лучше понять себя и найти новые горизонты.",Найти ориентиры,Не страшно — все начинали с этого. Мы поможем тебе освоиться.,2,"*Новичок-любознатель* Ты еще не нашел свой стиль, но уже знаешь, что хочешь больше. Это важнее, чем ты думаешь.",Нет,❓
1,2,6,"Понимание твоего уровня потребления информации позволит нам предложить тебе действительно полезную подборку. Ты можешь быть новичком, а можешь уже использовать продвинутые методы фильтрации и анализа. Честный ответ поможет точнее подобрать рекомендации.",Почти ничего не знаю,Не страшно — все начинали с этого. Мы поможем тебе освоиться.,3,"*Новичок* Ты обладаешь потенциалом, который только предстоит раскрыть. Главное — начать с малого и двигаться постепенно.",Нет,❓
1,2,7,"Понимание твоего уровня потребления информации позволит нам предложить тебе действительно полезную подборку. Ты можешь быть новичком, а можешь уже использовать продвинутые методы фильтрации и анализа. Честный ответ поможет точнее подобрать рекомендации.",Читал пару статей/смотрел ролики,"Хорошо, ты уже сделал(а) первый шаг. Теперь давай углубимся.",3,"*Начинающий исследователь* Ты уже в теме, но только начинаешь осваивать практические аспекты. Это правильный этап для развития.",Нет,📚
1,2,8,"Понимание твоего уровня потребления информации позволит нам предложить тебе действительно полезную подборку. Ты можешь быть новичком, а можешь уже использовать продвинутые методы фильтрации и анализа. Честный ответ поможет точнее подобрать рекомендации.","Есть базовое понимание (жанры, форматы, платформы)","Отлично, у тебя есть база. Теперь можно переходить к следующему уровню.",3,*Имеет базовое понимание* Ты уже владеешь ключевыми понятиями и готов к более глубокому погружению.,Нет,✅
1,2,9,"Понимание твоего уровня потребления информации позволит нам предложить тебе действительно полезную подборку. Ты можешь быть новичком, а можешь уже использовать продвинутые методы фильтрации и анализа. Честный ответ поможет точнее подобрать рекомендации.",Разбираюсь в основах и практикуюсь,"Прекрасно, ты уже опытный. Сейчас я помогу тебе улучшить стратегию.",3,*Развитый пользователь* Ты находишься на высоком уровне понимания и готов к профессиональному потреблению информации.,Нет,🎯
1,3,10,"Твоя готовность к экспериментам влияет на то, как ты воспринимаешь мир. Кто-то предпочитает знакомое, кто-то любит открывать новое. Это важно для расширения кругозора и поиска новых смыслов.",Предпочитаю проверенные источники,"Понятно, ты доверяешь проверенным источникам — это разумный подход.",4,"*Консервативный потребитель* Ты предпочитаешь читать только проверенные источники. Это снижает риск ошибок, но ограничивает доступ к новому.",Нет,🛡️
1,3,11,"Твоя готовность к экспериментам влияет на то, как ты воспринимаешь мир. Кто-то предпочитает знакомое, кто-то любит открывать новое. Это важно для расширения кругозора и поиска новых смыслов.",Бесмысленно серфлю,"Хорошо, ты открыт к экспериментам. Это разумный подход.",4,*Балансирующий потребитель* Ты находишь баланс между привычным и новым — это правильный подход для роста.,Нет,⚖️
1,3,12,"Твоя готовность к экспериментам влияет на то, как ты воспринимаешь мир. Кто-то предпочитает знакомое, кто-то любит открывать новое. Это важно для расширения кругозора и поиска новых смыслов.",Сознательно ищу новое,"Отлично, ты любишь открывать новое — это стиль настоящего исследователя!",4,"*Исследователь идей* Ты всегда выбираешь новый путь, даже если он не очевиден. Такой стиль приносит радость и знания.",Нет,🗺️
1,4,13,"Формат — твой главный рычаг в мире информации. От выбора Telegram до подкаста — всё влияет на твой уровень погружения. Сейчас мы узнаем, какой тебе ближе.",Telegram и блоги,"Хорошо, ты выбираешь Telegram и блоги — сейчас объясню, как их использовать максимально эффективно.",5,"*Пользователь мессенджеров* Ты доверяешь скорости и доступности. Это разумный выбор, особенно если ты следишь за актуальными темами.",Нет,📱
1,4,14,"Формат — твой главный рычаг в мире информации. От выбора Telegram до подкаста — всё влияет на твой уровень погружения. Сейчас мы узнаем, какой тебе ближе.",Подкасты и аудио,"Подкасты — будущее многозадачного обучения. Сейчас расскажу, как их использовать правильно.",5,"*Многозадачный слушатель* Ты используешь время с умом: слушаешь подкасты, пока едешь, готовишь или работаешь. Это разумный подход для занятых людей.",Нет,🎧
1,4,15,"Формат — твой главный рычаг в мире информации. От выбора Telegram до подкаста — всё влияет на твой уровень погружения. Сейчас мы узнаем, какой тебе ближе.",Видео и YouTube,"Видео — мощный инструмент визуального обучения. Сейчас расскажу, как избежать зависимости.",5,"*Зрителемозг* Ты любишь визуальные истории и умеешь учиться через видео. Это зрелый подход, если ты не теряешь контроль над временем.",Нет,🎥
